,Title,PublishedDate,Views,Likes,Comments,Month
683,The Most Difficult Program to Compute? - Computerphile,2014-07-01,1387814,26330,2164,Jul
684,In Flight Virtual Reality - Computerphile,2014-06-27,58583,1228,162,Jun
685,How Computer Memory Works - Computerphile,2014-06-23,824752,14048,770,Jun
686,Fibonacci Programming - Computerphile,2014-06-17,243111,4686,235,Jun
687,"Crashes, Cosmic Rays and Kernel Panic - Computerphile",2014-06-13,141031,2975,194,Jun
688,Fuzzy Logic - Computerphile,2014-06-11,366932,6489,348,Jun
689,How Cell Phones Reveal Your Location - Computerphile,2014-06-04,193741,3474,219,Jun
690,Coding by SMS text message - Computerphile,2014-05-30,141910,3080,322,May
691,Reverse Polish Grows on Trees - Computerphile,2014-05-28,90456,2561,136,May
692,Just How do Macs and PCs Differ? - Computerphile,2014-05-23,1130616,15528,1649,May
693,Mac or PC? - Computerphile,2014-05-21,604844,10176,2085,May
694,What on Earth is Recursion? - Computerphile,2014-05-16,719121,23892,1315,May
695,Opening up the 30yr old Mac - Computerphile,2014-05-13,171800,3527,256,May
696,Privacy in Social Media - Computerphile,2014-05-07,47989,1498,80,May
697,YouTube Search & Discovery - Computerphile,2014-05-02,52678,1699,211,May
698,YouTube's Secret Algorithm - Computerphile,2014-04-24,329177,6640,442,Apr
699,"Heartbleed, Running the Code - Computerphile",2014-04-18,455778,7432,386,Apr
700,Is it the End for Moore's Law? - Computerphile,2014-04-16,289902,4733,170,Apr
701,Programming in PostScript - Computerphile,2014-04-11,243438,5165,204,Apr
702,The Tweeting Vending Machine Hack - Computerphile,2014-04-07,244306,4041,142,Apr
703,Animated GIFs and Space vs Time - Computerphile,2014-04-02,642474,15537,560,Apr
704,Should Everybody Learn to Code? - Computerphile,2014-03-28,152163,3339,343,Mar
705,Home-Made Z80 Retro Computer - Computerphile,2014-03-26,114784,2542,132,Mar
706,Reverse Polish Notation and The Stack - Computerphile,2014-03-21,295606,9273,345,Mar
707,What is Bootstrapping? - Computerphile,2014-03-19,415960,6571,131,Mar
708,The Attack That Could Disrupt The Whole Internet - Computerphile,2014-03-14,1568614,37222,494,Mar
709,The Dawn of Desktop Publishing - Computerphile,2014-03-12,83972,1926,87,Mar
710,EXTRA BITS - Installing Ubuntu Permanently - Computerphile,2014-03-07,40571,659,55,Mar
711,EXTRA BITS - Making a Bootable USB in Linux - Computerphile,2014-03-07,28373,409,27,Mar
712,EXTRA BITS - Hacktop Real-Time Boot Comparison - Computerphile,2014-03-07,30282,444,84,Mar
713,XP to Ubuntu with an 8yr old Hacktop - Computerphile,2014-03-05,238759,3840,663,Mar
714,EXTRA BITS - What Makes a Computer? - Computerphile,2014-02-28,39203,784,19,Feb
715,Credit Cards and Invisible Computing - Computerphile,2014-02-25,68098,1511,178,Feb
716,EXTRA BITS - More on the Original Mac at 30 - Computerphile,2014-02-20,53920,1395,57,Feb
717,The Little Mac with the Big Bite - Computerphile,2014-02-18,119422,3132,266,Feb
718,EXTRA BITS: Big Data and T's & C's - Computerphile,2014-02-11,46884,1135,49,Feb
719,P vs NP on TV - Computerphile,2014-02-08,565701,8785,273,Feb
720,Blindly Accepting Terms and Conditions? - Computerphile,2014-02-05,325547,5845,316,Feb
721,The Font Magicians - Computerphile,2014-01-31,363792,7503,134,Jan
722,Smack a Mac (25 years of stress relief) - Computerphile,2014-01-24,173775,4920,241,Jan
723,Floating Point Numbers - Computerphile,2014-01-22,2272580,59028,819,Jan
724,Typesetters in the '80s - Computerphile,2014-01-17,99786,2430,81,Jan
725,EXTRA BITS: More on Barcodes - Computerphile,2014-01-15,31796,928,22,Jan
726,The Penguin Barcode - Computerphile,2014-01-14,154277,3933,265,Jan
727,Lights and Shadows in Graphics - Computerphile,2014-01-10,157355,4178,249,Jan
728,The Visibility Problem - Computerphile,2014-01-03,157815,3433,220,Jan
729,The Problem with Time & Timezones - Computerphile,2013-12-30,3885005,136239,2021,Dec
730,Arduino: Hobbyist Electronics to Orbit! - Computerphile,2013-12-22,161646,3287,175,Dec
731,Triangles to Pixels - Computerphile,2013-12-18,226506,4670,196,Dec
732,EXTRA BITS - Printing and Typesetting History - Computerphile,2013-12-15,77599,1835,74,Dec
733,The Great 202 Jailbreak - Computerphile,2013-12-12,515106,8212,252,Dec
734,The True Power of the Matrix (Transformations in Graphics) - Computerphile,2013-12-07,558219,11109,451,Dec
735,Cross Site Request Forgery - Computerphile,2013-12-03,728052,17713,347,Dec
736,A Universe of Triangles - Computerphile,2013-11-29,450101,9268,512,Nov
737,A New Golden Age of Video Games - Computerphile,2013-11-22,75969,1703,237,Nov
738,How NOT to Store Passwords! - Computerphile,2013-11-20,2231639,57640,1609,Nov
739,How YouTube Works - Computerphile,2013-11-15,507645,8130,792,Nov
740,Hashing Algorithms and Security - Computerphile,2013-11-08,1441002,30893,384,Nov
741,Texting Cabbage with a Recorder - Computerphile,2013-11-06,54583,1019,165,Nov
742,EXTRA BITS - Text Compression Meets Probabilities - Computerphile,2013-11-05,68831,1838,73,Nov
743,Elegant Compression in Text (The LZ 77 Method) - Computerphile,2013-11-01,477900,9785,307,Nov
744,Cloud Computing (Cloudy with a Chance of Pizza) - Computerphile,2013-10-28,53194,942,258,Oct
745,Cracking Websites with Cross Site Scripting - Computerphile,2013-10-23,1495709,37355,899,Oct
746,EXTRA BITS/TRITS - Huffman Trees - Computerphile,2013-10-21,56333,1597,149,Oct
747,How Huffman Trees Work - Computerphile,2013-10-18,247155,4702,211,Oct
748,"The Grid, CERN's Global Supercomputer - Computerphile",2013-10-15,105074,2228,236,Oct
749,Hacking Websites with SQL Injection - Computerphile,2013-10-09,2396264,48374,882,Oct
750,EXTRA BITS - Data Security and Flash Memory - Computerphile,2013-10-07,71766,1531,94,Oct
751,Virtual Machines Power the Cloud - Computerphile,2013-10-05,130066,2770,145,Oct
752,Encryption and Security Agencies - Computerphile,2013-10-02,121196,2257,129,Oct
753,EXTRA BITS - UTF-8 'nearly' works - Computerphile,2013-09-30,165369,3145,130,Sep
754,How Intelligent is Artificial Intelligence? - Computerphile,2013-09-27,302767,5577,590,Sep
755,Gesture Controls - Computerphile,2013-09-24,49063,1335,157,Sep
756,"Characters, Symbols and the Unicode Miracle - Computerphile",2013-09-20,1864258,52535,597,Sep
757,Security of Data on Disk - Computerphile,2013-09-17,210005,4120,217,Sep
758,Home-Made Code - Computerphile,2013-09-13,278634,3972,521,Sep
759,Error Correction - Computerphile,2013-09-10,242680,5013,315,Sep
760,CERN Computing Centre (and mouse farm) - Computerphile,2013-09-06,158264,4255,407,Sep
761,Programming Paradigms - Computerphile,2013-08-30,667311,11831,966,Aug
762,Network Address Translation - Computerphile,2013-08-27,150421,3895,205,Aug
763,EXTRA BITS - Behind the scenes on Computerphile - Computerphile,2013-08-22,47372,1965,183,Aug
764,EXTRA BITS - More about Punch Cards - Computerphile,2013-08-22,66970,1710,106,Aug
765,Punch Card Programming - Computerphile,2013-08-21,847439,17586,452,Aug
766,Birthplace of the World Wide Web - Computerphile,2013-08-14,70395,2246,262,Aug
767,What if the Universe is a Computer Simulation? - Computerphile,2013-08-06,823560,17372,1552,Aug
768,Programming BASIC and Sorting - Computerphile,2013-08-04,233925,4305,478,Aug
769,Error Detection and Flipping the Bits - Computerphile,2013-07-31,116275,3275,290,Jul
770,A Career in Video Games - Computerphile,2013-07-27,89732,2721,475,Jul
771,IP Addresses and the Internet - Computerphile,2013-07-24,137419,2900,206,Jul
772,Mainframes and the Unix Revolution - Computerphile,2013-07-19,423680,9385,591,Jul
773,Circuit Board Building Robot - Computerphile,2013-07-16,66515,1893,192,Jul
774,Network Stacks and the Internet - Computerphile,2013-07-11,162209,4086,364,Jul
775,Original Elite on the BBC B - Computerphile,2013-07-05,179884,4875,529,Jul
776,Entropy in Compression - Computerphile,2013-07-02,383338,8776,654,Jul
777,Hyper History and Cyber War - Computerphile,2013-06-28,115610,3051,267,Jun
778,Quick Sort - Computerphile,2013-06-25,367959,9356,372,Jun
779,Compression - Computerphile,2013-06-21,417001,8317,473,Jun
780,Getting Sorted & Big O Notation - Computerphile,2013-06-18,308490,8371,543,Jun
781,BBC B Microcomputer - Computerphile,2013-06-14,110718,3278,441,Jun
782,Near to the Metal - Computerphile,2013-06-12,186829,5049,321,Jun
783,Raspberry Pi Hardware - Computerphile,2013-06-07,268662,5329,692,Jun
784,Email - Computerphile,2013-06-05,98140,2682,321,Jun
785,The Art of Abstraction - Computerphile,2013-05-31,259023,8338,806,May
786,The Hair Algorithm - Computerphile,2013-05-28,143594,3180,548,May
787,Musical Floppy Drives - Computerphile,2013-05-24,222442,5607,385,May
788,EXTRA BITS - Follow the Cookie Trail - Computerphile,2013-05-23,89353,2464,280,May
789,Follow the Cookie Trail - Computerphile,2013-05-21,260123,6579,634,May
790,Homemade Video Arcade Machine - Computerphile,2013-05-17,186186,5629,594,May
791,Welcome to Computerphile!,2013-04-15,183873,6074,3004,Apr
